"","PlayerYear","team","name","salary","height_cm","weight_lb","school","country","DraftYear","DraftRound","DraftNum","PlusMinus","Pos","Age","Games","started","MinGames","FG","FG_att","three","three_att","two","two_att","FT","FT_att","o_reb","d_reb","t_reb","assist","steal","block","TO","fouls","ppg","infl","mvp","mip","SixthMan","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","FG_per","two_per","EFG","three_per","FT_per","TeamWins","NumYears","tmsalary","SalCap"
"1",2000,"ATL","Dikembe Mutombo",12820249,219,261,"Georgetown","Congo","1991","1","4",-2.5,"C",33,82,82,36.4,3.9,7,0,0,3.9,7,3.6,5.1,3.7,10.4,14.1,1.3,0.3,3.3,2.1,3,11.5,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES",0.5571429,0.5571429,0.5571429,NA,0.7058824,28,10,43125502,34000000
"2",2000,"ATL","Isaiah Rider",5410000,196,215,"Nevada-Las Vegas","USA","1993","1","5",-2.1,"SG",28,60,47,34.7,7.5,17.9,0.9,3,6.6,14.9,3.4,4.3,1.1,3.3,4.3,3.7,0.7,0.1,2.8,2.2,19.3,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4189944,0.442953,0.4441341,0.3,0.7906977,28,3,43125502,34000000
"3",2000,"ATL","Alan Henderson",5318437,206,235,"Indiana","USA","1995","1","16",-6.9,"PF",27,82,82,33.8,5.2,11.3,0,0.1,5.2,11.2,2.7,4.1,3.2,3.7,7,0.9,1,0.7,1.7,2.8,13.2,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.460177,0.4642857,0.460177,0,0.6585366,28,8,43125502,34000000
"4",2000,"ATL","Lorenzen Wright",4400000,211,240,"Memphis","USA","1996","1","7",-8.2,"C",24,75,0,16.1,2.4,4.8,0,0,2.4,4.8,1.2,1.8,1.6,2.5,4.1,0.3,0.4,0.5,0.9,2.7,6,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5,0.5,0.5,NA,0.6666667,28,9,43125502,34000000
"5",2000,"ATL","Bimbo Coles",2300000,188,182,"Virginia Tech","USA","1990","2","40",-5.7,"PG",31,80,54,24.1,3.5,7.6,0.1,0.5,3.4,7.1,1.1,1.3,0.4,1.8,2.2,3.6,0.7,0.1,1.3,2.2,8.1,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4605263,0.4788732,0.4671053,0.2,0.8461538,28,5,43125502,34000000
"6",2000,"ATL","Chris Crawford",2000000,206,235,"Marquette","USA","1997","2","50",-4,"PF",24,55,11,12.1,1.7,4.2,0.1,0.5,1.5,3.7,1.1,1.5,0.9,0.9,1.8,0.6,0.3,0.3,0.7,1.5,4.6,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4047619,0.4054054,0.4166667,0.2,0.7333333,28,5,43125502,34000000
"7",2000,"ATL","LaPhonso Ellis",1925000,203,240,"Notre Dame","USA","1992","1","5",-7.1,"PF",29,58,8,22.6,3.6,8,0.1,0.4,3.6,7.6,1.1,1.6,1.7,3.3,5,1,0.6,0.4,0.9,2.3,8.4,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.45,0.4736842,0.45625,0.25,0.6875,28,4,43125502,34000000
"8",2000,"ATL","Jim Jackson",1925000,198,220,"Ohio State","USA","1992","1","4",-5.7,"SF",29,79,76,35,6.4,15.6,1.5,3.8,4.9,11.8,2.4,2.7,1.3,3.7,5,2.9,0.7,0.1,2.3,2.1,16.7,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4102564,0.4152542,0.4583333,0.3947368,0.8888889,28,7,43125502,34000000
"9",2000,"ATL","Jason Terry",1468920,188,172,"Arizona","USA","1999","1","10",-6.7,"PG",22,81,27,23.3,3.1,7.4,0.6,1.9,2.5,5.5,1.4,1.7,0.3,1.8,2,4.3,1.1,0.1,1.9,1.6,8.1,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4189189,0.4545455,0.4594595,0.3157895,0.8235294,28,19,43125502,34000000
"10",2000,"ATL","Cal Bowdler",1025880,208,245,"Old Dominion","USA","1999","1","17",-10.2,"SF",22,46,0,9.2,1.1,2.5,0,0,1.1,2.5,0.5,0.8,0.5,1.4,1.8,0.3,0.3,0.2,0.5,1,2.7,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.44,0.44,0.44,NA,0.625,28,3,43125502,34000000
"11",2000,"ATL","Roshown McLeod",914760,203,221,"Duke","USA","1998","1","20",-7.4,"SF",24,44,20,19.5,3,7.5,0,0.3,2.9,7.3,1.2,1.6,0.9,2.2,3.1,1.2,0.4,0.1,1.3,1.9,7.2,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4,0.3972603,0.4,0,0.75,28,2,43125502,34000000
"12",2000,"ATL","Dion Glover",893400,196,228,"Georgia Tech","USA","1999","1","20",-12.6,"SG",21,30,1,14.9,2.2,5.7,0.4,1.5,1.8,4.2,1.7,2.3,0.5,0.8,1.3,0.9,0.5,0.1,0.9,0.9,6.5,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3859649,0.4285714,0.4210526,0.2666667,0.7391304,28,5,43125502,34000000
"13",2000,"ATL","Drew Barry",62765,196,191,"Georgia Tech","USA","1996","2","57",-9,"PG",26,16,0,9.9,0.9,2.1,0.4,1.1,0.5,0.9,0.3,0.3,0,0.8,0.8,2.1,0.1,0,0.8,1.4,2.6,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4285714,0.5555556,0.5238095,0.3636364,1,28,1,43125502,34000000
"14",2000,"HOU","Walt Williams",3750000,203,230,"Maryland","USA","1992","1","7",1.6,"SF",29,76,66,24.5,4.1,9,1.3,3.4,2.8,5.5,1.3,1.6,0.9,3.1,4,2.1,0.6,0.6,1.5,2.5,10.9,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4555556,0.5090909,0.5277778,0.3823529,0.8125,34,4,52269366,34000000
"15",2000,"HOU","Charles Barkley",9000000,198,252,"Auburn","USA","1984","1","5",-0.2,"PF",36,20,18,31,5.3,11.1,0.3,1.3,5,9.8,3.6,5.5,3.6,6.9,10.5,3.2,0.7,0.2,2.2,2.4,14.5,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4774775,0.5102041,0.490991,0.2307692,0.6545455,34,1,52269366,34000000
"16",2000,"DAL","Greg Buckner",47647,193,210,"Clemson","USA","1998","2","53",1.3,"SG",23,48,1,19.2,2.3,4.9,0.2,0.5,2.1,4.3,0.9,1.3,1.2,2.5,3.6,1.1,0.8,0.4,0.8,3.1,5.7,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4693878,0.4883721,0.4897959,0.4,0.6923077,40,10,39479500,34000000
"17",2000,"DAL","Gary Trent",2000000,203,250,"Ohio","USA","1995","1","11",-6.1,"SF",25,11,11,27.4,6.4,12.9,0,0.2,6.4,12.7,1,1.9,1.8,2.9,4.7,2,0.7,0.3,2.3,2.5,13.7,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.496124,0.503937,0.496124,0,0.5263158,40,5,39479500,34000000
"18",2000,"DAL","Damon Jones",70206,191,185,"Houston","USA","Undrafted","Undrafted","Undrafted",-6.3,"PG",23,55,1,11.1,1.5,3.8,0.7,2.1,0.7,1.7,0.6,0.9,0.2,0.8,1,1.7,0.3,0,0.7,0.6,4.2,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3947368,0.4117647,0.4868421,0.3333333,0.6666667,40,11,39479500,34000000
"19",2000,"DAL","Rick Hughes",115423,206,235,"Thomas More","USA","Undrafted","Undrafted","Undrafted",5.6,"PF",26,21,0,10.7,1.7,3.4,0,0,1.7,3.4,0.6,1.2,1.1,1.2,2.3,0.4,0.1,0,0.7,1.4,3.9,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5,0.5,0.5,NA,0.5,40,1,39479500,34000000
"20",2000,"DAL","Sean Rooks",1920000,208,270,"Arizona","USA","1992","2","30",-1.4,"C",30,71,13,14.1,1.7,4,0,0,1.7,4,0.9,1.3,1.2,2.3,3.5,1,0.4,0.7,1,2.4,4.4,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.425,0.425,0.425,NA,0.6923077,40,5,39479500,34000000
"21",2000,"MIA","Jamal Mashburn",5600000,203,241,"Kentucky","USA","1993","1","4",6.2,"SF",27,76,76,37.2,6.8,15.2,1.5,3.7,5.3,11.6,2.4,3.1,0.8,4.2,5,3.9,1,0.2,2.4,2.8,17.5,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4473684,0.4568966,0.4967105,0.4054054,0.7741935,52,5,50966573,34000000
"22",2000,"MIA","Bruce Bowen",510000,201,200,"Cal State-Fullerton","USA","Undrafted","Undrafted","Undrafted",1.9,"SF",28,69,2,12.7,1,2.8,0.4,0.8,0.7,2,0.4,0.6,0.4,1,1.4,0.5,0.3,0.2,0.3,1.7,2.8,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3571429,0.35,0.4285714,0.5,0.6666667,52,11,50966573,34000000
"23",2000,"IND","Dale Davis",4490000,211,230,"Clemson","USA","1991","1","13",5,"C",30,74,72,28.7,4.1,8.1,0,0,4.1,8.1,1.9,2.7,3.5,6.4,9.9,0.9,0.7,1.3,1.2,2.7,10,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5061728,0.5061728,0.5061728,NA,0.7037037,56,7,54158605,34000000
"24",2000,"IND","Mark Jackson",4000000,191,185,"St. John's (NY)","USA","1987","1","18",2.6,"PG",34,81,81,27,3,7,1.1,2.7,1.9,4.3,1,1.2,0.8,2.9,3.7,8,0.9,0.1,2.1,1.4,8.1,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4285714,0.4418605,0.5071429,0.4074074,0.8333333,56,5,54158605,34000000
"25",2000,"IND","Derrick McKey",4800000,208,241,"Alabama","USA","1987","1","9",5.9,"SF",33,32,0,19.8,1.3,3.4,0.3,0.7,1,2.7,1.3,1.8,0.9,3.3,4.2,1.1,0.9,0.4,0.6,2.5,4.3,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3823529,0.3703704,0.4264706,0.4285714,0.7222222,56,3,54158605,34000000
"26",2000,"IND","Sam Perkins",1925000,206,260,"North Carolina","USA","1984","1","4",9.7,"PF",38,81,0,20,2.3,5.4,1.1,2.7,1.2,2.8,1,1.2,0.8,2.8,3.6,0.8,0.4,0.4,0.8,1.7,6.6,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4259259,0.4285714,0.5277778,0.4074074,0.8333333,56,2,54158605,34000000
"27",2000,"IND","Zan Tabak",1100000,214,245,"None","USA","1991","2","51",6.5,"C",29,18,0,6.3,0.9,1.9,0,0,0.9,1.9,0.3,0.4,0.9,0.9,1.8,0.2,0.2,0.5,0.6,0.7,2.1,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4736842,0.4736842,0.4736842,NA,0.75,56,2,54158605,34000000
"28",2000,"IND","Chris Mullin",4079100,201,215,"St. John's (NY)","USA","1985","1","7",5.1,"SG",36,47,2,12.4,1.7,4,1,2.3,0.7,1.6,0.8,0.9,0.3,1.3,1.6,0.8,0.6,0.2,0.6,1.3,5.1,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.425,0.4375,0.55,0.4347826,0.8888889,56,2,54158605,34000000
"29",2000,"IND","Reggie Miller",9031850,201,185,"UCLA","USA","1987","1","11",4.8,"SG",34,81,81,36.9,5.8,12.9,2,5,3.7,7.9,4.6,5,0.6,2.3,3,2.3,1,0.3,1.6,1.6,18.1,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4496124,0.4683544,0.5271318,0.4,0.92,56,6,54158605,34000000
"30",2000,"IND","Travis Best",3250000,180,182,"Georgia Tech","USA","1995","1","23",8.6,"PG",27,82,0,20.6,3.3,6.8,0.4,1.1,2.9,5.7,1.9,2.3,0.2,1.5,1.7,3.3,0.9,0.1,1.3,2.5,8.9,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4852941,0.5087719,0.5147059,0.3636364,0.826087,56,6,54158605,34000000
"31",2000,"IND","Rik Smits",12250000,224,265,"Marist","USA","1988","1","2",1.4,"C",33,79,79,23.4,5.5,11.3,0,0,5.5,11.3,2,2.7,1.2,3.9,5.1,1.1,0.3,1.3,1.4,3.2,12.9,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4867257,0.4867257,0.4867257,NA,0.7407407,56,1,54158605,34000000
"32",2000,"IND","Jonathan Bender",2214600,211,202,"None","USA","1999","1","5",-3.7,"SF",19,24,1,5.4,1,2.9,0.1,0.5,0.9,2.4,0.7,1,0.2,0.7,0.9,0.1,0,0.2,0.3,0.8,2.7,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3448276,0.375,0.362069,0.2,0.7,56,7,54158605,34000000
"33",2000,"IND","Austin Croshere",1515120,206,235,"Providence","USA","1997","1","12",9.3,"PF",24,81,14,23.3,3.6,8.1,0.8,2.1,2.8,5.9,2.4,2.9,1.7,4.7,6.4,1.1,0.5,0.7,1.5,2.5,10.3,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4444444,0.4745763,0.4938272,0.3809524,0.8275862,56,10,54158605,34000000
"34",2000,"IND","Al Harrington",745800,206,254,"None","USA","1998","1","25",5.8,"PF",19,50,0,17.1,2.4,5.3,0.2,0.7,2.3,4.6,1.6,2.2,0.9,2.2,3.2,0.8,0.5,0.2,1.3,2.6,6.6,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4528302,0.5,0.4716981,0.2857143,0.7272727,56,15,54158605,34000000
"35",2000,"IND","Jalen Rose",2437500,203,210,"Michigan","USA","1994","1","13",4.4,"SF",27,80,80,37.2,7,15,1,2.5,6.1,12.5,3.2,3.8,0.5,4.3,4.8,4,1.1,0.6,2.4,2.9,18.2,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4666667,0.488,0.5,0.4,0.8421053,56,8,54158605,34000000
"36",2000,"MIA","Mark Strickland",2302400,208,220,"Temple","USA","Undrafted","Undrafted","Undrafted",-6.7,"SF",29,58,5,11.4,2.1,3.9,0,0,2.1,3.9,0.7,1,0.8,1.7,2.4,0.4,0.3,0.3,0.4,1.2,4.9,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5384615,0.5384615,0.5384615,NA,0.7,52,3,50966573,34000000
"37",2000,"UTA","Karl Malone",14000000,206,256,"Louisiana Tech","USA","1985","1","13",8.9,"PF",36,82,82,35.9,9.2,18,0,0.1,9.1,17.9,7.2,9,2.1,7.4,9.5,3.7,1,0.9,2.8,2.8,25.5,2.2,"YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO",0.5111111,0.5083799,0.5111111,0,0.8,55,5,49206026,34000000
"38",2000,"UTA","John Stockton",11000000,186,175,"Gonzaga","USA","1984","1","16",10.8,"PG",37,82,82,29.7,4.4,8.8,0.5,1.5,3.9,7.4,2.7,3.1,0.5,2.1,2.6,8.6,1.7,0.2,2.2,2.3,12.1,2.2,"NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",0.5,0.527027,0.5284091,0.3333333,0.8709677,55,4,49206026,34000000
"39",2000,"UTA","Jeff Hornacek",5200000,193,190,"Iowa State","USA","1986","2","46",8.2,"SG",36,77,77,27.7,4.6,9.5,0.9,1.8,3.8,7.7,2.2,2.3,0.6,1.7,2.4,2.6,0.9,0.2,1.5,1.9,12.4,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4842105,0.4935065,0.5315789,0.5,0.9565217,55,1,49206026,34000000
"40",2000,"UTA","Armen Gilliam",3707200,206,260,"Nevada-Las Vegas","USA","1987","1","2",-3.9,"PF",35,50,0,15.6,2.7,6.1,0,0,2.7,6.1,1.3,1.7,1.4,2.7,4.2,0.8,0.2,0.3,1.1,1.7,6.7,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.442623,0.442623,0.442623,NA,0.7647059,55,1,49206026,34000000
"41",2000,"UTA","Bryon Russell",4000000,201,225,"Long Beach State","USA","1993","2","45",9.6,"SF",29,82,70,35.4,5,11.1,1.3,3.3,3.7,7.9,2.9,3.9,1.2,4,5.2,1.9,1.6,0.3,1.2,3.1,14.1,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4504505,0.4683544,0.509009,0.3939394,0.7435897,55,6,49206026,34000000
"42",2000,"UTA","Adam Keefe",3000000,206,230,"Stanford","USA","1992","1","10",-3.1,"C",29,62,3,9.7,0.9,2.1,0,0,0.9,2.1,0.5,0.6,0.7,1.5,2.2,0.5,0.3,0.2,0.7,1.5,2.2,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4285714,0.4285714,0.4285714,NA,0.8333333,55,2,49206026,34000000
"43",2000,"UTA","Olden Polynice",2000000,214,250,"Virginia","USA","1987","1","8",5.8,"C",35,82,79,22.2,2.5,4.9,0,0,2.5,4.8,0.3,1.1,2,3.5,5.5,0.5,0.4,1,0.9,3.2,5.3,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5102041,0.5208333,0.5102041,NA,0.2727273,55,2,49206026,34000000
"44",2000,"BRK","Kerry Kittles",7166666,196,180,"Villanova","USA","1996","1","8",0.7,"SG",25,62,61,30.6,4.9,11.3,1.5,3.9,3.4,7.4,1.6,2,0.7,2.9,3.6,2.3,1.3,0.3,0.9,1.9,13,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4336283,0.4594595,0.5,0.3846154,0.8,31,5,52735461,34000000
"45",2000,"BRK","Keith Van Horn",3451920,208,250,"Utah","USA","1997","1","2",-3.7,"PF",24,80,80,34.8,7,15.7,1.1,2.9,5.9,12.9,4.2,4.9,2.5,6,8.5,2,0.8,0.8,3.1,3.2,19.2,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4458599,0.4573643,0.4808917,0.3793103,0.8571429,31,7,52735461,34000000
"46",2000,"DEN","Tariq Abdul-Wahad",1594920,198,223,"San Jose State","France","1997","1","11",-0.9,"SG",25,61,56,25.9,4.5,10.6,0,0.4,4.4,10.2,2.4,3.2,1.7,3.1,4.8,1.6,1,0.5,1.7,2.4,11.4,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4245283,0.4313725,0.4245283,0,0.75,35,4,43205814,34000000
"47",2000,"DEN","Chauncey Billups",3100080,191,202,"Colorado","USA","1997","1","3",-4.3,"SG",23,13,5,23.5,2.6,7.8,0.5,3.2,2.1,4.6,2.8,3.4,0.6,2,2.6,3,0.8,0.2,1.8,2.1,8.6,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3333333,0.4565217,0.3653846,0.15625,0.8235294,35,15,43205814,34000000
"48",2000,"DEN","Ryan Bowen",301875,201,215,"Iowa","USA","1998","2","55",-1.3,"SF",24,52,0,11.3,0.9,2.3,0,0.2,0.9,2.1,0.7,1,1.4,0.8,2.2,0.4,0.8,0.3,0.3,1.8,2.5,2.2,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3913043,0.4285714,0.3913043,0,0.7,35,8,43205814,34000000
