"","name","salary","team","height_ft","weight_lb","school","country","DraftYear","DraftRound","DraftNum","PlusMinus","PlayerYear","Pos","Age","Games","started","MinGames","FG","FG_att","three","three_att","two","two_att","FT","FT_att","o_reb","d_reb","t_reb","assist","steal","block","TO","fouls","ppg","infl","mvp","mip","SixthMan","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","FG_per","two_per","EFG","three_per","FT_per","TeamWins","NumYears"
"1","Stephen Curry",34682550,"GSW","6'3""",190,"Davidson","USA","2009","1","7",13.2,2018,"PG",29,51,51,32,8.4,16.9,4.2,9.8,4.2,7.1,5.5,5.9,0.7,4.4,5.1,6.1,1.6,0.2,3,2.2,26.4,2.1,"NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO",0.497041420118343,0.591549295774648,0.621301775147929,0.428571428571429,0.932203389830508,58,9
"2","LeBron James",33285709,"CLE","6'8""",250,"None","USA","2003","1","1",1.6,2018,"PF",33,82,82,36.9,10.5,19.3,1.8,5,8.6,14.3,4.7,6.5,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,2.1,"NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",0.544041450777202,0.601398601398601,0.590673575129534,0.36,0.723076923076923,50,15
"3","Paul Millsap",30769231,"DEN","6'8""",246,"Louisiana Tech","USA","2006","2","47",3.7,2018,"PF",32,38,37,30.1,5.3,11.4,1,3,4.3,8.5,2.9,4.2,1.7,4.7,6.4,2.8,1,1.2,1.9,2.6,14.6,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.464912280701754,0.505882352941176,0.508771929824561,0.333333333333333,0.69047619047619,46,12
"4","Blake Griffin",29512900,"DET","6'10""",251,"Oklahoma","USA","2009","1","1",1.7,2018,"PF",28,58,58,34,7.5,17.2,1.9,5.6,5.6,11.6,4.5,5.7,1.3,6.1,7.4,5.8,0.7,0.3,2.8,2.4,21.4,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.436046511627907,0.482758620689655,0.491279069767442,0.339285714285714,0.789473684210526,39,8
"5","Kyle Lowry",28903704,"TOR","6'0""",205,"Villanova","USA","2006","1","24",7.7,2018,"PG",31,78,78,32.2,5.2,12.1,3.1,7.6,2.1,4.5,2.9,3.3,0.8,4.7,5.6,6.9,1.1,0.2,2.3,2.5,16.2,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.429752066115702,0.466666666666667,0.557851239669422,0.407894736842105,0.878787878787879,59,12
"6","Mike Conley",28530608,"MEM","6'1""",175,"Ohio State","USA","2007","1","4",-1.9,2018,"PG",30,12,12,31.1,5.3,14,2,6.4,3.3,7.6,4.4,5.5,0,2.3,2.3,4.1,1,0.3,1.5,2,17.1,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.378571428571429,0.434210526315789,0.45,0.3125,0.8,22,11
"7","James Harden",28299399,"HOU","6'5""",220,"Arizona State","USA","2009","1","3",10.1,2018,"SG",28,72,72,35.4,9,20.1,3.7,10,5.4,10.1,8.7,10.1,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,2.1,"NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",0.447761194029851,0.534653465346535,0.539800995024876,0.37,0.861386138613861,65,9
"8","Russell Westbrook",28299399,"OKC","6'3""",200,"UCLA","USA","2008","1","4",6.4,2018,"PG",29,80,80,36.4,9.5,21.1,1.2,4.1,8.3,17,5.2,7.1,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4,2.1,"YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",0.450236966824645,0.488235294117647,0.47867298578199,0.292682926829268,0.732394366197183,48,10
"9","DeMar DeRozan",27739975,"TOR","6'7""",220,"Southern California","USA","2009","1","9",7.7,2018,"SG",28,80,80,33.9,8.1,17.7,1.1,3.6,7,14.1,5.8,7,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23,2.1,"NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",0.457627118644068,0.49645390070922,0.488700564971751,0.305555555555556,0.828571428571429,59,9
"10","Al Horford",27734405,"BOS","6'10""",245,"Florida","Dominican Rep...","2007","1","3",7.5,2018,"C",31,72,72,31.6,5.1,10.5,1.3,3.1,3.8,7.3,1.3,1.7,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,12.9,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.485714285714286,0.520547945205479,0.547619047619048,0.419354838709677,0.764705882352941,55,11
"11","Carmelo Anthony",26243760,"OKC","6'8""",240,"Syracuse","USA","2003","1","3",5.2,2018,"PF",33,78,78,32.1,6.1,15,2.2,6.1,3.9,8.9,1.9,2.5,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.406666666666667,0.438202247191011,0.48,0.360655737704918,0.76,48,15
"12","Damian Lillard",26153057,"POR","6'3""",195,"Weber State","USA","2012","1","6",6.2,2018,"PG",27,73,73,36.6,8.5,19.4,3.1,8.6,5.4,10.8,6.8,7.4,0.8,3.6,4.5,6.6,1.1,0.4,2.8,1.6,26.9,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.438144329896907,0.5,0.518041237113402,0.36046511627907,0.918918918918919,49,6
"13","Jrue Holiday",25686667,"NOP","6'4""",205,"UCLA","USA","2009","1","17",5.4,2018,"SG",27,81,81,36.1,7.6,15.4,1.5,4.4,6.1,11,2.3,2.9,0.8,3.7,4.5,6,1.5,0.8,2.6,2.5,19,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.493506493506493,0.554545454545455,0.542207792207792,0.340909090909091,0.793103448275862,48,9
"14","Kevin Durant",25000000,"GSW","6'9""",240,"Texas","USA","2007","1","2",7,2018,"PF",29,68,68,34.2,9.3,18,2.5,6.1,6.7,11.9,5.3,5.9,0.5,6.4,6.8,5.4,0.7,1.8,3,2,26.4,2.1,"NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO",0.516666666666667,0.563025210084034,0.586111111111111,0.409836065573771,0.898305084745763,58,11
"15","Otto Porter Jr",24773250,"WAS","6'8""",198,"Georgetown","USA","2013","1","3",5.3,2018,"SF",24,77,77,31.6,5.8,11.5,1.8,4.1,4,7.4,1.4,1.7,1.3,5.1,6.4,2,1.5,0.5,1,2,14.7,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.504347826086956,0.54054054054054,0.582608695652174,0.439024390243902,0.823529411764706,43,5
"16","Chris Paul",24268959,"HOU","6'0""",175,"Wake Forest","USA","2005","1","4",13.2,2018,"PG",32,58,58,31.8,6.3,13.8,2.5,6.5,3.8,7.2,3.5,3.8,0.6,4.8,5.4,7.9,1.7,0.2,2.2,2.4,18.6,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO",0.456521739130435,0.527777777777778,0.547101449275362,0.384615384615385,0.921052631578947,65,13
"17","CJ McCollum",23962573,"POR","6'3""",190,"Lehigh","USA","2013","1","10",1.5,2018,"SG",26,81,81,36.1,8.2,18.6,2.3,5.9,5.9,12.7,2.6,3.1,0.7,3.3,4,3.4,1,0.4,1.9,2.1,21.4,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.440860215053763,0.464566929133858,0.502688172043011,0.389830508474576,0.838709677419355,49,5
"18","Andre Drummond",23775506,"DET","6'11""",279,"Connecticut","USA","2012","1","9",-0.7,2018,"C",24,78,78,33.7,6,11.3,0,0.1,6,11.2,3.1,5.1,5.1,10.9,16,3,1.5,1.6,2.6,3.2,15,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.530973451327434,0.535714285714286,0.530973451327434,0,0.607843137254902,39,6
"19","Hassan Whiteside",23775506,"MIA","7'0""",265,"Marshall","USA","2010","2","33",-2.5,2018,"C",28,54,54,25.3,5.8,10.7,0,0,5.7,10.7,2.4,3.4,3.2,8.2,11.4,1,0.7,1.7,1.7,2.4,14,2.1,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.542056074766355,0.532710280373832,0.542056074766355,NA,0.705882352941177,44,5
