"","name","salary","team","height(ft)","weight(lb)","school","country","draft_year","draft_round","draft_number","+/-","player_year","position","age","games","started","mins/game","field_goal","field_goal_attempt","3_game","3_att","2_game","2_att","freethrows","free_throw_attempt","o_rebound","d_rebound","t_rebound","assist","steal","block","turnover","fouls","ppg","infl","mvp","mip","6_man","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","fg_per","two_per","efg","three_per","free_per"
"1","Stephen Curry","37457154","GSW","6'3""","190","Davidson","USA","2009","1","7","  11.2","2019","PG","30","17","17","  33.5"," 10.1"," 19.7","  5.4"," 10.7","  4.8","  9.0","  4.5","  4.8"," 0.4","  4.8","  5.2","  5.8"," 1.1"," 0.4","  3.1","  2.4"," 30.1"," 2.5","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","0.512690355330","0.533333333333","0.649746192893","0.504672897196","0.93750000000"
"2","Russell Westbrook","35665000","OKC","6'3""","200","UCLA","USA","2008","1","4","  10.1","2019","PG","30","17","17","  33.6","  8.6"," 19.4","  1.1","  5.1","  7.5"," 14.2","  3.7","  6.0"," 1.3","  9.3"," 10.6"," 10.2"," 2.0"," 0.1","  4.4","  3.5"," 22.1"," 2.5","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","0.443298969072","0.528169014085","0.471649484536","0.215686274510","0.61666666667"
"3","Chris Paul","35654150","HOU","6'0""","175","Wake Forest","USA","2005","1","4","   1.5","2019","PG","33","21","21","  33.9","  5.7"," 13.6","  2.0","  5.9","  3.7","  7.7","  3.0","  3.8"," 0.7","  4.0","  4.6","  8.0"," 2.0"," 0.3","  3.1","  2.6"," 16.4"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.419117647059","0.480519480519","0.492647058824","0.338983050847","0.78947368421"
"4","LeBron James","35654150","LAL","6'8""","250","None","USA","2003","1","1","   3.0","2019","PF","33","27","27","  34.9"," 10.4"," 20.0","  2.2","  5.9","  8.2"," 14.1","  5.3","  7.6"," 0.9","  6.8","  7.7","  7.1"," 1.3"," 0.8","  3.4","  1.8"," 28.3"," 2.5","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","0.520000000000","0.581560283688","0.575000000000","0.372881355932","0.69736842105"
"5","Blake Griffin","31873932","DET","6'10""","250","Oklahoma","USA","2009","1","1","   0.3","2019","PF","29","24","24","  35.6","  8.7"," 18.5","  2.3","  6.3","  6.4"," 12.2","  6.0","  8.0"," 1.5","  7.6","  9.1","  4.9"," 0.7"," 0.5","  3.7","  2.8"," 25.6"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.470270270270","0.524590163934","0.532432432432","0.365079365079","0.75000000000"
"6","Gordon Hayward","31214295","BOS","6'8""","225","Butler","USA","2010","1","9","   7.8","2019","SF","28","23","15","  26.7","  3.7","  9.1","  1.3","  3.8","  2.5","  5.3","  2.0","  2.3"," 1.0","  4.5","  5.5","  3.6"," 1.1"," 0.3","  1.4","  1.4"," 10.8"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.406593406593","0.471698113208","0.478021978022","0.342105263158","0.86956521739"
"7","Kyle Lowry","31000000","TOR","6'1""","196","Villanova","USA","2006","1","24","  12.2","2019","PG","32","28","28","  34.1","  4.8"," 11.1","  2.1","  6.5","  2.6","  4.6","  2.2","  2.6"," 0.5","  3.9","  4.4","  9.9"," 1.3"," 0.5","  2.8","  2.3"," 13.9"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.432432432432","0.565217391304","0.527027027027","0.323076923077","0.84615384615"
"8","James Harden","30570000","HOU","6'5""","220","Arizona State","USA","2009","1","3","   1.3","2019","SG","29","23","23","  36.0","  9.0"," 20.4","  4.1"," 11.1","  4.9","  9.3","  7.8","  9.4"," 0.6","  4.8","  5.3","  8.1"," 2.0"," 0.6","  5.7","  3.4"," 30.0"," 2.5","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","0.441176470588","0.526881720430","0.541666666667","0.369369369369","0.82978723404"
"9","Paul George","30560700","OKC","6'9""","220","Fresno State","USA","2010","1","10","  11.1","2019","SF","28","25","25","  34.7","  8.3"," 19.2","  3.2","  8.9","  5.0"," 10.3","  4.5","  5.5"," 1.3","  6.5","  7.8","  4.3"," 2.2"," 0.8","  2.8","  2.9"," 24.3"," 2.5","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","0.432291666667","0.485436893204","0.515625000000","0.359550561798","0.81818181818"
"10","Mike Conley","30521115","MEM","6'1""","175","Ohio State","USA","2007","1","4","   5.7","2019","PG","31","26","26","  33.9","  6.7"," 16.2","  2.1","  6.3","  4.6"," 10.0","  4.7","  5.7"," 0.5","  2.8","  3.3","  6.5"," 1.3"," 0.4","  1.9","  2.1"," 20.2"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.413580246914","0.460000000000","0.478395061728","0.333333333333","0.82456140351"
